Judul,Saluran TV
Terjebak Di Dalam Sumur Tua Dan Kakinya Buntung Akibat Menjual Tahu Formalin,Indosiar
"Jenazah Anak Durhaka Yang Mencampakkan Orang Tuanya, Makam Sambar Petir",Indosiar
Makam Si Peminta Hutang Palsu Tertimbun Batu Dan Diinjak Serigala,Indosiar
"Tenggorokan Terasa Terbakar dan Hujan Debu, Sang Penjual Air Minum Dzalim",Indosiar
Penipu Investasi Bodong Yang Kakinya Membengkak Tewas di Dalam Mobil Yang Jatuh ke Jurang dan Terbakar,Indosiar
"Pasangan Pengoplos BBM Mati Terbakar Bensin, Jenazahnya tertimpa Tiang Listrik dan Liang Lahatnya Tersambar Petir Berkali - Kali",Indosiar
Jenazah Supir Angkot Serakah Menghitam Terkena Oli dan Liang Lahatnya Dipenuhi Cairan Hitam,Indosiar
Pemalsu Air Isi Ulang Kerandanya Tertimpa Atap Yang Ambrol dan Makamnya Seperti Kubangan Lumpur Panas,Indosiar
Leher Membengkak Menjelang Ajal Dan Makam Hancur Karena Badai Karena Menjadi Penipu Arisan Bodong,Indosiar
Badai Pasir dan Angin Topan Mengiringi Pemakaman Penambang Pasir Ilegal,Indosiar
Tengkulak Beras Tamak Kerandanya Diserang Hewan-Hewan Ternak Dan Sulit Dimakamkan,Indosiar
"Akibat Jumawa dan Suka Pamer, Jenazah Jadi Membesar dan Tercebur dalam Sumur",Indosiar
Penjual Obat-Obat Oplosan Mati Mengenaskan Keracunan Zat Kimia dan Jasadnya Tersangkut,Indosiar
Jenazah Pengemis Gadungan Liang Lahatnya Dipenuhi Beling dan Tertutup Oleh Sampah,Indosiar
"Kain Kafan Jenazah Si Penjual Air Zam-Zam Palsu Terbakar, Kerandanya Terlindas Mobil",Indosiar
Wanita Riya Tidak Amanah Terkena Ledakan Gas dan Liang Lahatnya Dipenuhi Cairan Hitam,Indosiar
"Penjual Cendol Berbahan Pewarna Tekstil dan Pemanis Buatan, Liang Lahatnya Mengeluarkan Cairan Berwarna Hijau",Indosiar
Jenazah Penjual Gas Keliling Culas Berbau Aneh dan Membesar Hingga Sulit Dikuburkan,Indosiar
"Ayah Yang Menikahkan Anaknya Demi Mahar, Kuburannya Mengecil dan Dibanjiri Lahar Panas",Indosiar
"Akibat Curang Dalam Berdagang, Jenazah Berlumur Minyak dan Liang Lahatnya Mengeluarkan Api",Indosiar
"Perebut Suami Orang Mati Dengan Perut Membengkak Disengat Ribuan Tawon, Keranda Jenazahnya Terkena Badai dan Terjebur ke Adukan Semen",Indosiar
"Hancurkan Masjid, Anak Durhaka Mati Tertimbun dan Jenazahnya Tak Bisa Menghadap Kiblat",Indosiar
"Manusia Pezina Mati Terlilit Akar Pohon, Jatuh Kelumpur dan Tertimbun Sampah",Indosiar
Jenazah Si Penjual Emas Palsu Tersambar Petir dan Hilang Disungai,Indosiar
"Zalim Pada Karyawan, Bos Pabrik Jenazahnya Hilang Tertimbun Sampah",Indosiar
Pengganda Uang Mati Dalam Rawa Yang Dipenuhi Limbah Tinta,Indosiar
"Suka Mencuri Uang Istri, Jenazah Suami Liang Lahatnya Dipenuhi Timah",Indosiar
"Pengelola Panti Asuhan Fiktif, Saat Dikubur Jenazahnya hadapi Banyak Rintangan",Indosiar
Akibat Tamak Suamiku Tenggelam dalam Gentong Minyak dan Makamnya Jatuh Ke Jurang,Indosiar
Sang Lintah Darat Kejam Mati Tersambar Petir dan Jenazahnya Dipenuhi Luka Bekas Siksaan,Indosiar
"Suami Curang dan Zalim, Mati Berlumur Telur Busuk dan Makamnya Dikerubungi Lalat",Indosiar
Penjual Tanah Wakaf Masjid Jadi Gila Menjelang Ajalnya dan Jenazahnya Ditolak Bumi,Indosiar
"Perempuan yang Suka Berbohong Demi Mendapatkan Harta, Iringan Jenazahnya Diikuti Ratusan Ular",Indosiar
"Provokator Penjarahan Saat Bencana Gempa, Jenazahnya Remuk dan Hancur Ditelan Bumi",Indosiar
"Menafkahi Anak Dari Hasil Menipu, Mati Tertimbun Sampah dan Pemakamannya Diterjang Badai",Indosiar
Anak Durhaka Mati Karena Kudis Menahun dan Jenazahnya Keluar Asap Hitam Sebelum Menjadi Batu,Indosiar
Penipu Licik Yang Serakah Kerandanya Ditelan Bumi,Indosiar
Akibat Kikir Pada Anak dan Istrinya Jenazahnya Masuk ke Dalam Lubang Sampah dan Terbakar Di Dalamnya,Indosiar
"Durhaka Pada Suami, Istri Keracunan Jamunya Sendiri dan Liang Lahatnya Tertimpa Batu",Indosiar
Menantu Durhaka Jenazahnya Meneteskan Air Mata dan Terjepit Liang Lahat Yang Menutup Saat Gempa,Indosiar
"Jenazah Suami Berbau Busuk Karena Dosanya, Jenazah Istri Berbau Harum Karena Amalnya",Indosiar
"Perampas Tanah Wakaf Mati Tersengat Listrik, Jenazahnya Hanyut",Indosiar
Jenazah Pedagang Licik Terlempar ke Sungai Berbuaya,MNCTV
Jenazah Lintah Darat Tertimpa Godam Besar,MNCTV
Juragan Tanah Tamak Jenazahnya Terjepit Karena Ditolak Bumi,MNCTV
"Jenazah Rentenir Dzolim Tertimpa Ranting Tajam, Kuburannya Menyempit",MNCTV
"Si Panjang Tangan Dzolim, Saat Meninggal Gelang Curiannya Susah Dilepas",MNCTV
Suami Istri Pedagang Culas Mati Terperangkap Api di Gudang Beras,MNCTV
"Mandor Culas Mati Tertusuk Paku, Jenazah Tertimbun Sampah",MNCTV
"Pedagang Curang, Saat Sekarat Mendengkur Menyerupai Hewan",MNCTV
Kaya Karena Pesugihan Tersiksa Saat Sakaratul Maut,MNCTV
"Hidup Tidak Berkah, Mati dengan Tangan dan Kaki Tidak Bisa Diluruskan",MNCTV
"Jenazah Pemakai Susuk, Wajah Berubah Buruk Tersambar Petir",MNCTV
"Azab Anak Durhaka, Kuburannya Tidak Bisa Digali",MNCTV
"Juragan tanah Tamak, Jenazahnya Terjepit Karena Ditolak Bumi",MNCTV
Jenazah Bos Bengkel Culas Kuburannya Dipenuhi Oli Bekas,MNCTV
Murka Ibu Membuat Keranda Anak Durhaka Tertancap Bambu,MNCTV
Menantu Durhaka Mati Dengan Perut Membuncit,MNCTV
Jenazah Menyerupai Kera Karena Suka Memaki dan Memakan Harta Anak Yatim,MNCTV
"Akibat Mendzolimi Suami, Jenazah Istri Tertahan Di Kurung Batang",MNCTV
"Akibat Merebut Suami Sahabat, Liang Lahatnya Penuh Kalajengking Berbisa",MNCTV
"Pelihara Tuyul Demi Kekayaan, Mati Dengan Tubuh Mengecil",MNCTV
"Mertua Dzolimi Menantu, Jenazah Membungkuk Di Dalam Kubur",MNCTV
Wanita Pelakor Pakai Silikon Palsu Mati Tragis dengan Kulit Melepuh,MNCTV
"Adzab Pria Menjual Tanah Yayasan, Liang Kuburnya Meledak",MNCTV
"Curang Dalam Berdagang, Jenazahnya Berat Sebelah",MNCTV
Kontraktor Dzolim Jenazahnya Hilang Diterjang Banjir Bandang,MNCTV
"Akibat Merebut Suami Kakak, Menjelang Ajal Tubuh Gatal-gatal Perut Membuncit",MNCTV
"Pembantu Nyinyir Genit Tukang Gosip, Mati Dengan Mulut Robek",MNCTV
Kepala Panti Asuhan Serakah Terjepit Liang Lahat Tersapu Banjir,MNCTV
Juragan Ayam Potong Dzolim Mati Tertimpa Kandang Dan Dipenuhi Bulu,MNCTV
"Pilih Jalan Sesat Untuk Jadi Kaya, Keranda Jenazah Diserang Kera",MNCTV
"Anak Durhaka Suka Membentak Ibu, Kuburannya Dipenuhi Duri",MNCTV
"Susah Melahirkan Karena Durhaka, Saat Penguburan Terdngar Suara Misterius",MNCTV
Bos Penadah Barang Curian Mati Tragis dan Jenazah Disambar Petir,MNCTV
Akibat Serakah Terobsesi Jadi Majikan Jenazah Gagal Dikubur Berkali-Kali -,MNCTV
"Menggandakan Uang, Mati Kepanasan Di Penjara Dan Liang Lahat Dipenuhi Api",MNCTV
Akibat Menghindari Hutang Jenazah Licin Bagai Belut,MNCTV
"Menggelapkan Dana Umroh, Saat Mati Terdengar Ratapan Dari Dalam Kubur",MNCTV
Mandor Kejam Jenazah Terkubur Cor Coran Dan Tertimpa Meteor -,MNCTV
"Istri Nyinyir Sering Bicara Kasar ke Suami, Mati Dengan Mulut Terbakar",MNCTV
Pemalak Liar Dan Penyegel Masjid Liang Lahatnya Dipenuhi Bara Api,MNCTV
Istri Pencemburu Menyiksa Anak Tiri Jenazahnya Tidak Bisa Keluar Dari Kendara dan Kuburannya Terlilit Air,MNCTV
"Akibat Mempermainkan Pernikahan, Kuburannya Dikerubungi Hewan",MNCTV
Jenazah Perampok Sadis Masuk Ke Sungai,MNCTV
Jenazah Terpental Semburan Gas di Liang Lahat,MNCTV
Wanita Perampas Harta Anak tiri Saat Mati Kuburannya Dipenuhi Bara Api,MNCTV
Adzab Tukang Ghibah Mulut Busuk Si Jasad Pemandi Jenazah,MNCTV
Penjual Catering Culas! Mati Menguning Kuburan Dipenuhi Sampah,MNCTV
Juragan Tahu Bulat Mati Tergoreng Dadakan Dikubur Anget Anget,MNCTV
Jenazah Memanjang Azab Kepada Orang Yang Suka Mencuri Kotak Mesjid,MNCTV
Kecanduan Judi Mancing Kuburannya Banjir Tak Mau Kering,MNCTV
"Menjadikan Anak Anak Sebagai Lahan Bisnis, kuburannya Dipenuhi Kalajengking",MNCTV
"Bersaudara Mati Dempet, Dikuburkan Dekat Galian Sampah",MNCTV
Mendzolimi Anak Kecil Tubuh Terbenam Di Tanah Makam,MNCTV
Wanita Pengasuh Anakku Jenazahnya Hilang Ditemukan Membusuk,MNCTV
"Istri Pedagang Buah Culas Mati Dililit Rantai, Kuburan Penuh Buah Busuk & Ber- Lava",MNCTV
"Artis Durhaka Kepada orang Tua, Mati Gosong Di Kolam Renang",MNCTV
Juragan Kos Pemasung Ibu Kandung Mati Tertimpa Toren dan Jenazah Diseren Anjing,MNCTV
Haji Palsu Mendadak Gagu Jenazahnya Dikubur Berdiri,MNCTV
Makan Uang Sumbangan Masjid! Bendahara Dzolim Tersambar Petir,MNCTV
Paman Perebut Harta Anak Yatim! Kuburannya Menyemburkan Batu,MNCTV
Tak Akui Ibu Kandung Jenazah Mengeras Bagai Batu,MNCTV
Bos Organ Tunggal Genit Mati Tertimpa Panggung,MNCTV
Azab Pamakai Jimat Batu Kecubung Jenazah Hancur di Liang Lahat,MNCTV
