Judul,Saluran TV
Azab Suami Penakluk Wanita,Indosiar
Liang Lahat Anak Tiri Mengecil Karena Durhaka pada Ibu Tiri,Indosiar
Hujan Badai Mengiringi Pemakaman Penjual Liang Lahat,Indosiar
"Akibat Mendzolimi Anak Yatim, Tubuh Bendahara Masjid Dihisap Bumi",Indosiar
Anakku Ditolak Bumi Karena Hidup penuh Dosa,Indosiar
Pencuri Yang Kehilangan Tangan Saat Akhir Hayatnya,Indosiar
Tangan dan Kaki Borokan Karena Mencuri Uang Orangtua,Indosiar
Kisah Anak Bakhil Kepada Orangtua Yang Jenazahnya Dimakan Buaya,Indosiar
Jenazah Menghilang Karena Tamak Harta,Indosiar
Tubuh Terbaring Kaku Seperti Mayat Hidup Karena Menzalimi Anak Sendiri,Indosiar
"Lalai Dengan Wasiat Orangtua, Jenazah Anak Hangus Terbakar",Indosiar
Penghina Pengemis Mulutnya Terinfeksi Dan Jenazahnya Terbungkus Karung Goni,Indosiar
Makam Marbot Runtuh dan Jatuh Ke Jurang Karena Mengutil Sedekah,Indosiar
Mulut Bagai Terbakar Menjelang Ajal Si Penghindar Hutang,Indosiar
Jenazah Pedagang Kikir Dan Serakah Mengambang Dan Hanyut Terbawa Banjir,Indosiar
Penjual Ayam Tiren Mati Di Kandang Ayam dan Keranda Jenazahnya Terbakar Kena Sengatan Listrik,Indosiar
Jenazah Penjudi Terbelit Rantai Besi,Indosiar
"Akibat Suka Berzina, Jenazah Susah Ditimbun Tanah",Indosiar
"Durhaka Kepada Suami, Jenazah Istri Membusuk Berhari-Hari",Indosiar
Bumi Menolak Jenazah Perebut Suami Orang,Indosiar
Calo Tanah yang Makamnya Terbelah Karena Gempa,Indosiar
Penjual Bakso Tikus Jenazahnya Terkubur Batu,Indosiar
"Akibat Main Jimat, Si Musyirik Disiksa Di Akhirat",Indosiar
Mobil Jenazah Ayah Habis Terbakar Karena Pelit pada Anaknya,Indosiar
Jenazah Lelaki yang Mendzalimi Istri Dipatok Puluhan Ular,Indosiar
Makam Tukang Bohong Hancur Ditimpa Pohon Tumbang,Indosiar
Kuburan Tukang Tipu Penuh Batu dan Jenazahnya Membusuk Sebelum Dikuburkan,Indosiar
Jasad Wanita Penyebar Fitnah Susah Dikuburkan Karena Menempel di Keranda,Indosiar
Maut dan Siksa Menjemput Sang Istri Durhaka,Indosiar
Tanah Kuburan Tukang Ghibah Berwarna Hitam dan Lengket,Indosiar
Koruptor Munafik Jenazahnya Kekurangan Kain Kafan dan Mengeluarkan Bau Busuk,Indosiar
"Mencari Uang Dengan Jadi Begal, Jenazah Hilang Ditelan Bumi",Indosiar
Api Neraka Dunia Melalap Keranda Jenazah Manusia Angkuh Dan Keji,Indosiar
Pemilik Yayasan Pengambil Hak Anak Yatim Piatu Makamnya Dihancurkan Akar Pohon,Indosiar
"Akibat Tak Mengakui Anak Kandung, Mata Bagai Ditusuk Seribu Jarum",Indosiar
Bos Sindikat Maling Mati Dengan Tubuh Menghitam,Indosiar
"Mencuri Sumbangan Masjid, Tubuh Terbelenggu Semen",Indosiar
Jenazah Seorang Ibu Yang Tinggalkan Anaknya Demi Harta Terkubur Bersama Sampah,Indosiar
Hujan Batu dan Lumpur Mengiringi Jenazah Tukang Adu Domba Yang Membengkak,Indosiar
Jenazah Tertimbun Pasir Karena Menelantarkan Anak Sendiri,Indosiar
"Jenazah Wanita Yang Mempermainkan Pernikahan, Hilang Entah Kemana",Indosiar
Kuburan Anak Durhaka Mengeluarkan Lumpur Hitam,Indosiar
"Pedagang Culas yang Mencurangi Timbangan, Jenazahnya Tertimbun Sampah",Indosiar
"Tak Pernah Bersyukur ,Seorang Gadis Kulitnya Keriput Dan Meninggal Dipenuhi Bisul",Indosiar
"Mertua Gila Dukun, Liang Lahatnya Terus Menyempit Sampai Jenazah Harus Ditekuk",Indosiar
Tangan Membusuk Menjelang Ajal Si Penadah Barang Curian,Indosiar
Jenazah Tukang Ojek Serakah Pemakan Harta Saudara Membuncit dan Jatuh Dari Air Terjun,Indosiar
"Akibat Dzalim Kepada Ayah, Keranda Jenazah Anak Diserang Lebah",Indosiar
"Jenazah Anak yang Durhaka Kepada Ibunya, Hangus Terpanggang Lahar Panas",Indosiar
"Semasa Hidup Pelit, Saat Dikubur Liang Lahat Menjadi Sempit",Indosiar
"Berkurban Demi Pujian, Tanah Kuburan Bandar Sapi Tamak Dipenuhi Air Keruh",Indosiar
Angin Puting Beliung Mengiringi Pemakaman Jenazah Penjual Kambing yang Licik dan Keji,Indosiar
"Mantan Suami Tak Pedulikan Anak, Makamnya Tak Ada Yang Tahu Dimana",Indosiar
Jenazah Wanita Musyrik Terkubur Di Tempat Pembuangan Sampah dan Terbakar,Indosiar
Penyalur Daging Kambing Culas Terpaksa Dimakamkan Di Tanah Kandang Kambing,Indosiar
Puluhan Kilat dan Petir Menyambar Tubuh Si Pencuri Listrik Yang Culas,Indosiar
Liang Lahat Anak Tiri Mengecil Karena Durhaka Pada Ibu Tiri,Indosiar
Pemalsu Kosmetik Terkubur Bersama Pohon Besar dan Keluar Asap,Indosiar
Jenazah Pengganggu Rumah Tangga Ketiban Brankas dan Terkubur Sampah,Indosiar
Juragan Bakhil Mati Dengan Kaki Gajah dan Tanah Kuburnya Amblas,Indosiar
Bumi Menolak Jenazah Anak Durhaka Penista Ibunya,Indosiar
"Ayah Pemeras Harta Anak, Wajah Jenazah Tidak Dikenali Karena Disengat Ratusan Lebah",Indosiar
"Pegawai Pabrik Culas, Kuburannya Terendam Air Hitam dan Berbau Busuk Bak Limbah",Indosiar
"Akibat Suka Sumpah Palsu, Tubuh Terkubur Hidup-Hidup dan Tanah Makamnya Amblas Ditelan Bumi",Indosiar
"Akibat Durhaka Pada Orang Tua Karena Ambisi, Tali Kain Kafan Yang Mengikat Jenazah Tak Bisa Dilepas",Indosiar
Bumi Menimbun Jasad Anak Yang Kurang Ajar Pada Orangtuanya,Indosiar
"Akibat Menyia Nyiakan Suami dan Anak, Istri Tersiksa Terkubur Hidup Hidup Menjelang Ajalnya",Indosiar
Jasad Tengkulak Padi Yang Keji Berubah Kaku dan Terpaksa Dikuburkan Di Balik Batu,Indosiar
"Penjual Pempek Ikan Busuk Yang Serakah, Makamnya Hancur Diterjang Ombak Berkali Kali",Indosiar
Tukang Tambal Ban Penebar Paku Makamnya Ambrol dan Terbawa Arus Sungai Deras,Indosiar
"Orang Sok Dermawan Tapi Ternyata Pelit, Jenazahnya Terbang Terus Tak Bisa Dikubur",Indosiar
Jenazah Dimakan Harimau Karena Menjual Susu Oplosan,Indosiar
"Anak Manja Penuntut Ibu, Jenazahnya Hangus Terbakar",Indosiar
Jenazah Pembuat Vaksin Palsu Dibungkus Terpal dan Makamnya Bolong Tersambar Petir,Indosiar
"Jasad Suami Istri Pemakan Dana Sumbangan Korban Gempa, Jadi Batu dan Hilang Ditelan Bumi",Indosiar
Makam Penjual Ikan Busuk Yang Licik Berbau Tengik dan Dihancurkan Tanaman Merambat,Indosiar
Jenazah Penimbun Beras Culas Makamnya Terangkat Akar Pohon Yang Tumbang,Indosiar
"Suami Tukang Maksiat Yang Terlantarkan Keluarga Kerandanya, Terseret Angin Kencang Dan Jatuh Ke Jurang",Indosiar
"Akibat Korupsi Uang Proyek Pesantren, Jenazah Mandor Terpendam Tanah Dan Hilang Tak Berbekas",Indosiar
Kain Kafan Menghitam dan Jenazah Tersedot Lumpur Hidup Karena Menjual Kerupuk Kulit Dari Limbah Sepatu,Indosiar
Perhiasan Menempel Erat Di Tubuh Si Penipu Emas Saat Jenazahnya Hendak Dikuburkan,Indosiar
"Gadis Pemutus Tali Silaturahmi, Tali Kafannya Terputus dan Liang Lahatnya Dipenuhi Lumpur",Indosiar
Penjual Daging Oplosan mati Terjebak Perangkap Celeng Yang Dibuatnya Sendiri,Indosiar
"Merampas Warisan Anak, Jenazah Ibu Tiri Hanyut Terbawa Banjir Bandang",Indosiar
Banjir Bandang Menerjang Jenazah Sepasang Pemilik Biro Haji yang Tidak Amanah,Indosiar
"Jenazah Orang yang Menggelapkan Uang, Kerandanya Jatuh ke Lumpur Hisap Karena Ditolak Bumi",Indosiar
Preman Tukang Palak Jenazahnya Membusuk Berhari - Hari Di Hutan,Indosiar
Liang Lahat Penuh Api dan Nisan Selalu Terbalik Akibat Suka Mencuri Amal Jariyah,Indosiar
Jenazah Penebang Kayu Liar Mati Dengan Kulit Bersisik Pohon Dan Kerandanya Tetimpa Pohon Sampai Terbakar,Indosiar
