Judul,Saluran TV,Judul2,Judul2_no_stopwords,Judul2_ns_stem
Jenazah Seorang Ibu Yang Tinggalkan Anaknya Demi Harta Terkubur Bersama Sampah,Indosiar,jenazah seorang ibu yang tinggalkan anaknya demi harta terkubur bersama sampah,jenazah ibu tinggalkan anaknya harta terkubur sampah,jenazah ibu tinggal anak harta kubur sampah
Hujan Batu dan Lumpur Mengiringi Jenazah Tukang Adu Domba Yang Membengkak,Indosiar,hujan batu dan lumpur mengiringi jenazah tukang adu domba yang membengkak,hujan batu lumpur mengiringi jenazah tukang adu domba membengkak,hujan batu lumpur iring jenazah tukang adu domba bengkak
Jenazah Tertimbun Pasir Karena Menelantarkan Anak Sendiri,Indosiar,jenazah tertimbun pasir karena menelantarkan anak sendiri,jenazah tertimbun pasir menelantarkan anak,jenazah timbun pasir telantar anak
"Jenazah Wanita Yang Mempermainkan Pernikahan, Hilang Entah Kemana",Indosiar,jenazah wanita yang mempermainkan pernikahan hilang entah kemana,jenazah wanita mempermainkan pernikahan hilang kemana,jenazah wanita main nikah hilang mana
Kuburan Anak Durhaka Mengeluarkan Lumpur Hitam,Indosiar,kuburan anak durhaka mengeluarkan lumpur hitam,kuburan anak durhaka mengeluarkan lumpur hitam,kubur anak durhaka keluar lumpur hitam
"Pedagang Culas yang Mencurangi Timbangan, Jenazahnya Tertimbun Sampah",Indosiar,pedagang culas yang mencurangi timbangan jenazahnya tertimbun sampah,pedagang culas mencurangi timbangan jenazahnya tertimbun sampah,dagang culas curang timbang jenazah timbun sampah
"Tak Pernah Bersyukur ,Seorang Gadis Kulitnya Keriput Dan Meninggal Dipenuhi Bisul",Indosiar,tak pernah bersyukur  seorang gadis kulitnya keriput dan meninggal dipenuhi bisul,bersyukur gadis kulitnya keriput meninggal dipenuhi bisul,syukur gadis kulit keriput tinggal penuh bisul
"Mertua Gila Dukun, Liang Lahatnya Terus Menyempit Sampai Jenazah Harus Ditekuk",Indosiar,mertua gila dukun liang lahatnya terus menyempit sampai jenazah harus ditekuk,mertua gila dukun liang lahatnya menyempit jenazah ditekuk,mertua gila dukun liang lahatnya sempit jenazah tekuk
Tangan Membusuk Menjelang Ajal Si Penadah Barang Curian,Indosiar,tangan membusuk menjelang ajal si penadah barang curian,tangan membusuk menjelang ajal si penadah barang curian,tangan busuk jelang ajal si tadah barang curi
Jenazah Tukang Ojek Serakah Pemakan Harta Saudara Membuncit dan Jatuh Dari Air Terjun,Indosiar,jenazah tukang ojek serakah pemakan harta saudara membuncit dan jatuh dari air terjun,jenazah tukang ojek serakah pemakan harta saudara membuncit jatuh air terjun,jenazah tukang ojek serakah makan harta saudara buncit jatuh air terjun
"Akibat Dzalim Kepada Ayah, Keranda Jenazah Anak Diserang Lebah",Indosiar,akibat dzalim kepada ayah keranda jenazah anak diserang lebah,akibat dzalim ayah keranda jenazah anak diserang lebah,akibat zalim ayah keranda jenazah anak serang lebah
"Jenazah Anak yang Durhaka Kepada Ibunya, Hangus Terpanggang Lahar Panas",Indosiar,jenazah anak yang durhaka kepada ibunya hangus terpanggang lahar panas,jenazah anak durhaka ibunya hangus terpanggang lahar panas,jenazah anak durhaka ibu hangus panggang lahar panas
"Semasa Hidup Pelit, Saat Dikubur Liang Lahat Menjadi Sempit",Indosiar,semasa hidup pelit saat dikubur liang lahat menjadi sempit,hidup pelit dikubur liang lahat sempit,hidup pelit kubur liang lahat sempit
"Berkurban Demi Pujian, Tanah Kuburan Bandar Sapi Tamak Dipenuhi Air Keruh",Indosiar,berkurban demi pujian tanah kuburan bandar sapi tamak dipenuhi air keruh,berkurban pujian tanah kuburan bandar sapi tamak dipenuhi air keruh,kurban puji tanah kubur bandar sapi tamak penuh air keruh
Angin Puting Beliung Mengiringi Pemakaman Jenazah Penjual Kambing yang Licik dan Keji,Indosiar,angin puting beliung mengiringi pemakaman jenazah penjual kambing yang licik dan keji,angin puting beliung mengiringi pemakaman jenazah penjual kambing licik keji,angin puting beliung iring makam jenazah jual kambing licik keji
"Mantan Suami Tak Pedulikan Anak, Makamnya Tak Ada Yang Tahu Dimana",Indosiar,mantan suami tak pedulikan anak makamnya tak ada yang tahu dimana,mantan suami pedulikan anak makamnya dimana,mantan suami peduli anak makam mana
Jenazah Wanita Musyrik Terkubur Di Tempat Pembuangan Sampah dan Terbakar,Indosiar,jenazah wanita musyrik terkubur di tempat pembuangan sampah dan terbakar,jenazah wanita musyrik terkubur pembuangan sampah terbakar,jenazah wanita musyrik kubur buang sampah bakar
Penyalur Daging Kambing Culas Terpaksa Dimakamkan Di Tanah Kandang Kambing,Indosiar,penyalur daging kambing culas terpaksa dimakamkan di tanah kandang kambing,penyalur daging kambing culas terpaksa dimakamkan tanah kandang kambing,salur daging kambing culas paksa makam tanah kandang kambing
Puluhan Kilat dan Petir Menyambar Tubuh Si Pencuri Listrik Yang Culas,Indosiar,puluhan kilat dan petir menyambar tubuh si pencuri listrik yang culas,puluhan kilat petir menyambar tubuh si pencuri listrik culas,puluh kilat petir sambar tubuh si curi listrik culas
Liang Lahat Anak Tiri Mengecil Karena Durhaka Pada Ibu Tiri,Indosiar,liang lahat anak tiri mengecil karena durhaka pada ibu tiri,liang lahat anak tiri mengecil durhaka ibu tiri,liang lahat anak tiri kecil durhaka ibu tiri
